frame,id,x1,y1,x2,y2
0,-1,356,195,374,216
0,-1,545,182,574,204
0,-1,573,177,600,199
0,-1,600,177,614,192
0,-1,621,179,636,193
0,0,776,167,1241,374
0,1,716,179,856,270
0,2,687,178,758,236
0,3,386,192,463,244
0,4,496,189,527,212
0,5,637,179,665,202
0,6,508,187,536,208
1,-1,518,182,556,206
1,-1,342,196,368,219
1,-1,545,182,574,204
1,-1,573,177,600,199
1,-1,600,177,614,192
1,-1,621,179,636,193
1,0,798,170,1241,374
1,1,725,180,883,281
1,2,692,178,768,240
1,3,373,194,456,250
1,4,493,189,525,213
1,5,637,180,666,204
1,6,505,190,535,211
2,-1,545,182,574,204
2,-1,573,177,600,199
2,-1,600,177,614,192
2,-1,621,179,636,193
2,-1,668,169,714,186
2,0,827,170,1241,374
2,1,735,178,917,291
2,2,697,177,780,244
2,3,360,192,448,250
2,4,490,188,523,213
2,5,638,179,668,203
2,6,503,188,533,209
3,-1,545,182,574,204
3,-1,573,177,600,199
3,-1,600,177,614,192
3,-1,621,179,636,193
3,-1,668,169,714,186
3,-1,779,164,808,184
3,0,868,169,1241,374
3,1,747,175,960,304
3,2,704,177,793,248
3,3,345,192,440,254
3,4,487,186,521,212
3,5,639,177,670,201
3,6,501,185,532,207
4,-1,512,179,546,201
4,-1,545,182,574,204
4,-1,573,177,600,199
4,-1,600,177,614,192
4,-1,621,179,636,193
4,-1,668,169,714,186
4,-1,779,162,811,183
4,0,929,167,1241,374
4,1,762,175,1018,325
4,2,711,176,809,253
4,3,328,191,431,257
4,4,483,185,518,211
4,5,639,175,671,200
4,6,498,184,530,206
5,-1,621,173,641,190
5,-1,668,169,714,186
5,-1,779,162,811,183
5,-1,579,175,621,194
5,-1,527,175,577,202
5,0,1046,171,1241,374
5,1,780,176,1097,355
5,2,719,175,828,260
5,3,308,191,421,262
5,4,480,185,516,211
5,5,640,173,673,199
5,6,496,183,529,206
6,-1,621,173,641,190
6,-1,668,169,714,186
6,-1,780,153,817,186
6,-1,579,175,621,194
6,-1,527,175,577,202
6,1,802,179,1215,374
6,2,727,175,850,268
6,3,287,192,410,268
6,4,476,185,514,213
6,5,641,173,675,200
6,6,493,184,527,207
7,-1,621,173,641,190
7,-1,668,169,714,186
7,-1,788,159,819,184
7,-1,579,175,621,194
7,-1,527,175,577,202
7,1,830,182,1241,374
7,2,736,176,877,279
7,3,263,193,398,275
7,4,472,186,511,215
7,5,642,174,677,201
7,6,490,185,525,209
7,95,250,194,310,221
7,97,296,195,348,221
8,-1,621,173,641,190
8,-1,668,169,714,186
8,-1,796,158,828,181
8,-1,590,176,634,197
8,-1,527,175,577,202
8,-1,574,174,592,193
8,-1,725,162,747,179
8,1,870,183,1241,374
8,2,746,176,911,293
8,3,235,195,385,285
8,4,468,187,508,216
8,5,643,174,679,203
8,6,487,186,523,211
8,95,241,195,303,222
8,97,288,195,342,223
9,-1,505,178,543,206
9,-1,621,173,641,190
9,-1,668,169,714,186
9,-1,796,158,828,181
9,-1,590,176,634,197
9,-1,527,175,577,202
9,-1,574,174,592,193
9,-1,728,163,750,177
9,1,927,186,1241,374
9,2,761,177,956,311
9,3,201,197,370,294
9,4,464,187,506,218
9,5,644,176,681,205
9,6,483,186,521,212
9,94,195,200,255,226
9,95,231,196,295,224
9,97,279,196,336,224
10,-1,621,173,641,190
10,-1,668,169,714,186
10,-1,796,158,828,181
10,-1,590,176,634,197
10,-1,527,175,577,202
10,-1,574,174,592,193
10,-1,728,163,750,177
10,1,1019,192,1241,374
10,2,780,178,1016,335
10,3,161,199,352,308
10,4,459,187,503,219
10,5,645,175,683,204
10,6,480,186,518,213
10,94,183,200,246,226
10,95,220,196,288,225
10,97,270,196,329,225
11,-1,621,173,641,190
11,-1,683,167,724,186
11,-1,808,159,838,189
11,-1,597,179,643,199
11,-1,517,178,573,205
11,-1,574,174,592,193
11,-1,726,159,754,181
11,1,1179,208,1241,374
11,2,800,180,1097,368
11,3,112,200,331,320
11,4,454,188,500,220
11,5,646,175,686,206
11,6,476,186,516,213
11,93,126,201,199,230
11,94,171,199,237,227
11,95,209,196,279,226
11,97,260,196,321,226
12,-1,621,173,641,190
12,-1,683,167,724,186
12,-1,808,159,838,189
12,-1,597,179,643,199
12,-1,517,178,573,205
12,-1,574,174,592,193
12,-1,726,159,754,181
12,2,827,181,1217,374
12,3,50,201,307,337
12,4,449,188,497,222
12,5,647,175,688,207
12,6,472,187,513,214
12,93,112,203,188,232
12,94,159,201,228,229
12,95,198,196,271,227
12,97,250,197,314,228
13,-1,621,173,641,190
13,-1,683,167,724,186
13,-1,808,159,838,189
13,-1,607,179,655,199
13,-1,517,178,573,205
13,-1,574,174,592,193
13,-1,726,159,754,181
13,-1,1005,137,1038,173
13,-1,597,174,613,189
13,2,862,183,1241,374
13,3,0,204,277,362
13,4,443,188,493,224
